servicerequestnum,code,codeDescription,address,city,state,zip,createdDate,dueDate,statusDate,status,activity,outcome,updatedDate
13-00234803,HLTHRATR,SW-Rat Rubout,3613  RAVENWOOD AVE ,BALTIMORE CITY,MD,21213,04/05/2013 02:47:37 PM +0000,04/19/2013,04/09/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/09/2013
13-00241704,RATRUBPR,SW-Rat Rubout - Proactive,1724  MONTPELIER ST ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00243156,RATRUBPR,SW-Rat Rubout - Proactive,2580  CECIL AVE ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00243130,RATRUBPR,SW-Rat Rubout - Proactive,2572  CECIL AVE ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00243128,RATRUBPR,SW-Rat Rubout - Proactive,2570  CECIL AVE ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00243121,RATRUBPR,SW-Rat Rubout - Proactive,2564  CECIL AVE ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00243119,RATRUBPR,SW-Rat Rubout - Proactive,2562  CECIL AVE ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00243113,RATRUBPR,SW-Rat Rubout - Proactive,2558  CECIL AVE ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00243110,RATRUBPR,SW-Rat Rubout - Proactive,2556  CECIL AVE ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00243081,RATRUBPR,SW-Rat Rubout - Proactive,2540  CECIL AVE ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00243046,RATRUBPR,SW-Rat Rubout - Proactive,2536  CECIL AVE ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00243044,RATRUBPR,SW-Rat Rubout - Proactive,2534  CECIL AVE ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00243038,RATRUBPR,SW-Rat Rubout - Proactive,2530  CECIL AVE ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00243033,RATRUBPR,SW-Rat Rubout - Proactive,2528  CECIL AVE ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00243026,RATRUBPR,SW-Rat Rubout - Proactive,2526  CECIL AVE ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00243025,RATRUBPR,SW-Rat Rubout - Proactive,2524  CECIL AVE ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00243010,RATRUBPR,SW-Rat Rubout - Proactive,2575  KIRK AVE ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00243009,RATRUBPR,SW-Rat Rubout - Proactive,2573  KIRK AVE ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00242998,RATRUBPR,SW-Rat Rubout - Proactive,2565  KIRK AVE ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00242992,RATRUBPR,SW-Rat Rubout - Proactive,2563  KIRK AVE ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00242987,RATRUBPR,SW-Rat Rubout - Proactive,2561  KIRK AVE ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00242985,RATRUBPR,SW-Rat Rubout - Proactive,2559  KIRK AVE ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00242982,RATRUBPR,SW-Rat Rubout - Proactive,2557  KIRK AVE ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00242977,RATRUBPR,SW-Rat Rubout - Proactive,2553  KIRK AVE ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00242975,RATRUBPR,SW-Rat Rubout - Proactive,2551  KIRK AVE ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00242918,RATRUBPR,SW-Rat Rubout - Proactive,2543  KIRK AVE ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/08/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00242913,RATRUBPR,SW-Rat Rubout - Proactive,2537  KIRK AVE ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/08/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00242911,RATRUBPR,SW-Rat Rubout - Proactive,2535  KIRK AVE ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/08/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00242904,RATRUBPR,SW-Rat Rubout - Proactive,2529  KIRK AVE ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00242879,RATRUBPR,SW-Rat Rubout - Proactive,2562  AISQUITH ST ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00242860,RATRUBPR,SW-Rat Rubout - Proactive,2544  AISQUITH ST ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00242853,RATRUBPR,SW-Rat Rubout - Proactive,2536  AISQUITH ST ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00242847,RATRUBPR,SW-Rat Rubout - Proactive,2528  AISQUITH ST ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00242842,RATRUBPR,SW-Rat Rubout - Proactive,2524  AISQUITH ST ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00242812,RATRUBPR,SW-Rat Rubout - Proactive,2516  AISQUITH ST ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00242809,RATRUBPR,SW-Rat Rubout - Proactive,2514  AISQUITH ST ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00242800,RATRUBPR,SW-Rat Rubout - Proactive,2559  ROBB ST ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00242794,RATRUBPR,SW-Rat Rubout - Proactive,2557  ROBB ST ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00242784,RATRUBPR,SW-Rat Rubout - Proactive,2555  ROBB ST ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/08/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00242780,RATRUBPR,SW-Rat Rubout - Proactive,2553  ROBB ST ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00242775,RATRUBPR,SW-Rat Rubout - Proactive,2549  ROBB ST ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00242774,RATRUBPR,SW-Rat Rubout - Proactive,2547  ROBB ST ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00242768,RATRUBPR,SW-Rat Rubout - Proactive,2545  ROBB ST ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/08/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00242766,RATRUBPR,SW-Rat Rubout - Proactive,2543  ROBB ST ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00242756,RATRUBPR,SW-Rat Rubout - Proactive,2537  ROBB ST ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00242754,RATRUBPR,SW-Rat Rubout - Proactive,2535  ROBB ST ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00242751,RATRUBPR,SW-Rat Rubout - Proactive,2533  ROBB ST ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00242743,RATRUBPR,SW-Rat Rubout - Proactive,2529  ROBB ST ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00242696,RATRUBPR,SW-Rat Rubout - Proactive,2523  ROBB ST ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00242689,RATRUBPR,SW-Rat Rubout - Proactive,2519  ROBB ST ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00242682,RATRUBPR,SW-Rat Rubout - Proactive,2515  ROBB ST ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00242677,RATRUBPR,SW-Rat Rubout - Proactive,2511  ROBB ST ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00242658,RATRUBPR,SW-Rat Rubout - Proactive,1426  MONTPELIER ST ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00242581,RATRUBPR,SW-Rat Rubout - Proactive,1418  MONTPELIER ST ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00242578,RATRUBPR,SW-Rat Rubout - Proactive,1416  MONTPELIER ST ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00242577,RATRUBPR,SW-Rat Rubout - Proactive,1414  MONTPELIER ST ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00242574,RATRUBPR,SW-Rat Rubout - Proactive,1412  MONTPELIER ST ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00242572,RATRUBPR,SW-Rat Rubout - Proactive,1410  MONTPELIER ST ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00242567,RATRUBPR,SW-Rat Rubout - Proactive,1406  MONTPELIER ST ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00242555,RATRUBPR,SW-Rat Rubout - Proactive,1400  MONTPELIER ST ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00242548,RATRUBPR,SW-Rat Rubout - Proactive,1443  HOMESTEAD ST ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00242519,RATRUBPR,SW-Rat Rubout - Proactive,1441  HOMESTEAD ST ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00242515,RATRUBPR,SW-Rat Rubout - Proactive,1439  HOMESTEAD ST ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00242500,RATRUBPR,SW-Rat Rubout - Proactive,1435  HOMESTEAD ST ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00242491,RATRUBPR,SW-Rat Rubout - Proactive,1431  HOMESTEAD ST ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00242488,RATRUBPR,SW-Rat Rubout - Proactive,1429  HOMESTEAD ST ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00242487,RATRUBPR,SW-Rat Rubout - Proactive,1427  HOMESTEAD ST ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00242486,RATRUBPR,SW-Rat Rubout - Proactive,1425  HOMESTEAD ST ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00242431,RATRUBPR,SW-Rat Rubout - Proactive,1413  HOMESTEAD ST ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00242430,RATRUBPR,SW-Rat Rubout - Proactive,1411  HOMESTEAD ST ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00242424,RATRUBPR,SW-Rat Rubout - Proactive,1409  HOMESTEAD ST ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00242416,RATRUBPR,SW-Rat Rubout - Proactive,1407  HOMESTEAD ST ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00242400,RATRUBPR,SW-Rat Rubout - Proactive,1401  HOMESTEAD ST ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00242311,RATRUBPR,SW-Rat Rubout - Proactive,  HARFORD RD ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00242232,RATRUBPR,SW-Rat Rubout - Proactive,2624  HARFORD RD ,BALTIMORE CITY,MD,21213,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00242221,RATRUBPR,SW-Rat Rubout - Proactive,2614  HARFORD RD ,BALTIMORE CITY,MD,21213,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00242217,RATRUBPR,SW-Rat Rubout - Proactive,2612  HARFORD RD ,BALTIMORE CITY,MD,21213,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00242191,RATRUBPR,SW-Rat Rubout - Proactive,  HARFORD RD ,BALTIMORE CITY,MD,21213,04/05/2013 07:00:00 AM +0000,04/10/2013,04/08/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00242185,RATRUBPR,SW-Rat Rubout - Proactive,2548  HARFORD RD ,BALTIMORE CITY,MD,21213,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00242176,RATRUBPR,SW-Rat Rubout - Proactive,2546  HARFORD RD ,BALTIMORE CITY,MD,21213,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00242169,RATRUBPR,SW-Rat Rubout - Proactive,2540  HARFORD RD ,BALTIMORE CITY,MD,21213,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00242158,RATRUBPR,SW-Rat Rubout - Proactive,2536  HARFORD RD ,BALTIMORE CITY,MD,21213,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00242151,RATRUBPR,SW-Rat Rubout - Proactive,2532  HARFORD RD ,BALTIMORE CITY,MD,21213,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00242147,RATRUBPR,SW-Rat Rubout - Proactive,2530  HARFORD RD ,BALTIMORE CITY,MD,21213,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00242139,RATRUBPR,SW-Rat Rubout - Proactive,1772  MONTPELIER ST ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00242106,RATRUBPR,SW-Rat Rubout - Proactive,1768  MONTPELIER ST ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00241965,RATRUBPR,SW-Rat Rubout - Proactive,1754  MONTPELIER ST ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00241950,RATRUBPR,SW-Rat Rubout - Proactive,1744  MONTPELIER ST ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00241948,RATRUBPR,SW-Rat Rubout - Proactive,1742  MONTPELIER ST ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00241946,RATRUBPR,SW-Rat Rubout - Proactive,1740  MONTPELIER ST ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00241943,RATRUBPR,SW-Rat Rubout - Proactive,1738  MONTPELIER ST ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00241917,RATRUBPR,SW-Rat Rubout - Proactive,1732  MONTPELIER ST ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00241914,RATRUBPR,SW-Rat Rubout - Proactive,1728  MONTPELIER ST ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00241704,RATRUBPR,SW-Rat Rubout - Proactive,1724  MONTPELIER ST ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00241674,RATRUBPR,SW-Rat Rubout - Proactive,1712  MONTPELIER ST ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00241643,RATRUBPR,SW-Rat Rubout - Proactive,1708  MONTPELIER ST ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00241640,RATRUBPR,SW-Rat Rubout - Proactive,1706  MONTPELIER ST ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00241635,RATRUBPR,SW-Rat Rubout - Proactive,1704  MONTPELIER ST ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00241633,RATRUBPR,SW-Rat Rubout - Proactive,1702  MONTPELIER ST ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00241618,RATRUBPR,SW-Rat Rubout - Proactive,1700  MONTPELIER ST ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00243158,RATRUBPR,SW-Rat Rubout - Proactive,2582  CECIL AVE ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00243154,RATRUBPR,SW-Rat Rubout - Proactive,2578  CECIL AVE ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00243134,RATRUBPR,SW-Rat Rubout - Proactive,2574  CECIL AVE ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/08/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00243124,RATRUBPR,SW-Rat Rubout - Proactive,2566  CECIL AVE ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00243117,RATRUBPR,SW-Rat Rubout - Proactive,2560  CECIL AVE ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00243108,RATRUBPR,SW-Rat Rubout - Proactive,2554  CECIL AVE ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00243107,RATRUBPR,SW-Rat Rubout - Proactive,2552  CECIL AVE ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00243103,RATRUBPR,SW-Rat Rubout - Proactive,2548  CECIL AVE ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00243046,RATRUBPR,SW-Rat Rubout - Proactive,2536  CECIL AVE ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
13-00243033,RATRUBPR,SW-Rat Rubout - Proactive,2528  CECIL AVE ,BALTIMORE CITY,MD,21218,04/05/2013 07:00:00 AM +0000,04/10/2013,04/05/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,04/05/2013
